title,actors
Dangerous Mission,Victor Mature; Piper Laurie; Vincent Price; William Bendix; Betta St. John; Steve Darrell; Marlo Dwyer; Walter Reed; Dennis Weaver
Under Cover,David Neidorf; Jennifer Jason Leigh; David Harris; Barry Corbin; Kathleen Wilhoite; Carmen Argenziano; Brad Leland; John Philbin
The Pawnshop,Charles Chaplin; Henry Bergman; Edna Purviance; John Rand; Albert Austin; Eric Campbell; James T. Kelley; Frank J. Coleman
The Ultimate Solution of Grace Quigley,Katharine Hepburn; Nick Nolte; Kit Le Fever; Chip Zien; William Duell; Walter Abel; Elizabeth Wilson; Frances Pole
Across the Pacific,Humphrey Bogart; Mary Astor; Sydney Greenstreet; Charles Halton; Victor Sen Yung; Roland Got; Lee Tung Foo; Frank Wilcox
Hard Ticket to Hawaii,Ronn Moss; Dona Speir; Hope Marie Carlton; Harold Diamond; Rodrigo Obregón; Cynthia Brimhall; Patty Duffek; Wolf Larson
Agnes of God,Jane Fonda; Anne Bancroft; Meg Tilly; Anne Pitoniak; Gratien Gelinas; Winston Rekert; Guy Hoffman; Gabriel Arcand; Françoise Faucher
Air America,Mel Gibson; Robert Downey jr.; Nancy Travis; Ken Jenkins; David Marshall Grant; Lane Smith; Art LaFleur; Ned Eisenberg; Marshall Bell
Airport '77,Jack Lemmon; James Stewart; Lee Grant; Brenda Vaccaro; Jean Seberg; Joseph Cotten; Olivia de Havilland; Darren McGavin; Christopher Lee; Robert Foxworth; Robert Hooks
Baby on Board,Carol Kane; Judge Reinhold; Alex Stapley; Holly Stapley; Géza Kovács; Errol Slue; Lou Pitoscias
Al Capone,Rod Steiger; Fay Spain; James Gregory; Martin Balsam; Nehemiah Persoff; Murvyn Vye; Robert Gist; Lewis Charles; Joe De Santis
Storm Center,Bette Davis; Brian Keith; Kim Hunter; Paul Kelly; Kevin Coughlin; Joe Mantell; Sally Brophy; Howard Wierum; Curtis Cooksey
Drums Across the River,Audie Murphy; Lisa Gaye; Walter Brennan; Lyle Bettger; Hugh O'Brian; Mara Corday; Jay Silverheels; Emile Meyer; Regis Toomey
All the Way Home,Jean Simmons; Robert Preston; Aline MacMahon; Pat Hingle; Thomas Chalmers; John Cullum; Helen Carew; Ronnie Claire Edwards; Michael Kearney
The Lawyer,Barry Newman; Harold Gould; Diana Muldaur; Robert Colbert; Kathleen Crowley; Warren J. Kemmerling; Booth Colman; Ken Swofford
Above Suspicion,Fred MacMurray; Joan Crawford; Conrad Veidt; Basil Rathbone; Reginald Owen; Richard Ainley; Cecil Cunningham; Ann Shoemaker
I'll Be Seeing You,Ginger Rogers; Joseph Cotten; Shirley Temple; John Derek; Spring Byington; Tom Tully; Chill Wills; Kenny Bowers
Alamo Bay,Ed Harris; Amy Madigan; Ho Nguyen; Donald Moffat; Rudy Young; Truyen V. Tran; Cynthia Carle; Martin Lasalle; William Frankfather
Steel Dawn,Patrick Swayze; Lisa Niemi; Christopher Neame; Brion James; Anthony Zerbe; John Fujioka; Brett Hool; Marcel Van Heerden; Arnold Vosloo
Dawn at Socorro,Rory Calhoun; Piper Laurie; David Brian; Alex Nicol; Kathleen Hughes; Edgar Buchanan; Mara Corday; Roy Roberts; Skip Homeier
The Hanging Tree,Gary Cooper; Maria Schell; Karl Malden; George C. Scott; Karl Swenson; Virginia Gregg; John Dierkes; King Donovan
Raintree County,Montgomery Clift; Elizabeth Taylor; Eva Marie Saint; Lee Marvin; Nigel Patrick; Rod Taylor; Agnes Moorehead; Walter Abel
Nightwing,Nick Mancuso; David Warner; Kathryn Harrold; Stephen Macht; Strother Martin; George Clutesi; Ben Piazza; Donald Hotton
Her Alibi,Tom Selleck; Paulina Porizkova; James Farentino; William Daniels; Hurd Hatfield; Ronald Guttman; Victor Argo; Patrick Wayne; Tess Harper
Nightfall,Aldo Ray; Brian Keith; Anne Bancroft; James Gregory; Jocelyn Brando; Frank Albertson; Rudy Bond
Alice,Mia Farrow; William Hurt; Joe Mantegna; Cybill Shepherd; June Squibb; Marceline Hugot; Bernadette Peters; Gwen Verdon; Alec Baldwin; Keye Luke; Julie Kavner
Alice Doesn't Live Here Anymore,Ellen Burstyn; Kris Kristofferson; Harvey Keitel; Alfred Lutter; Diane Ladd; Lelia Goldoni; Billy Green Bush; Jodie Foster
Alien Predator,Dennis Christopher; Martin Hewitt; Lynn-Holly Johnson; Luis Prendes; J.O. Bosso; Yousaf Bokhari; Yolanda Palomo; Christina Augustin
The Hidden,Kyle MacLachlan; Michael Nouri; Claudia Christian; Clarence Felder; Clu Gulager; Ed O'Ross; William Boyett; Richard Brooks
Aliens,Sigourney Weaver; Carrie Henn; Michael Biehn; Paul Reiser; Lance Henriksen; Bill Paxton; William Hope; Jenette Goldstein; Al Matthews; Mark Rolston
Breaking Away,Dennis Christopher; Dennis Quaid; Daniel Stern; Jackie Earle Haley; Barbara Barrie; Paul Dooley; Robyn Douglass; Hart Bochner; Amy Wright
Romancing the Stone,Michael Douglas; Kathleen Turner; Danny DeVito; Zack Norman; Alfonso Arau; Manuel Ojeda; Holland Taylor; Mary Ellen Trainor
