title,actors
Tresure Island,Robert Newton; Bobby Driscoll; Basil Sydney; Walter Fitzgerald; Denis O'Dea
Block-Heads,Stan Laurel; Oliver Hardy; Billy Gilbert; Patricia Ellis
The Duchess and the Dirtwater Fox,George Segal; Goldie Hawn; Conrad Janis
Crazed,Laszlo Papas; Belle Mitchell; Beverly Ross; T.J. McFadden; Rigg Kennedy
Mr. Roberts,Henry Fonda; James Cagney; William Powell; Jack Lemmon
Curly Sue,James Belushi; Kelly Lynch; Alisan Porter; John Getz
Gulag,David Keith; Malcolm McDowell; David Suchet; Warren Clarke
Woodstock,Jimi Hendrix; Joe Cocker; Joan Baez; the Who; Carlos Santana; Janis Joplin; Arlo Guthrie.
Agatha Christie's The Man in the Brown Suit,Rue McClanahan; Tony Randall; Edward Woodward
Zapped Again,Todd Eric Andrews; Kelli Williams; Linda Blair; Lyle Alzado
Nightmare in the Daylight,Jaclyn Smith; Thomas Mason; Christopher Reeve
Dirty Dancing,Patrick Swayze; Jennifer Grey; Cynthia Rhodes; Jerry Orbach
Kickboxer,Jean-Claude Van Damme; Dennis Alexio; Rochelle Ashana
Winterhawk,Michael Dante; Leif Erikson; Woody Strode
The Big Combo,Cornel Wilde; Richard Conte; Brian Donlevy; Jean Wallace
Heaven Can Wait,Warren Beatty; Julie Christie; James Mason; Jack Warden; Charles Grodin
The Last Hour,Michael Paré; Shannon Tweed; Bobby Di Cicco
Double Suspicion,Gary Busey; Kim Cattrall; Darianne Fluegel
Past Midnight,Rutger Hauer; Natasha Richardson; Clancy Brown; Kibibi Monie
Jagged Edge,Glenn Close; Jeff Bridges; Peter Coyote; Robert Loggia
The Desperate Hours,Humphrey Bogart; Fredric March; Martha Scott; Arthur Kennedy
Off Beat,Judge Reinhold; Meg Tilly; Harvey Keitel; Joe Mantegna; John Turturro
Blue Steel,Jamie Lee Curtis; Ron Silver; Clancy Brown; Elizabeth Peña; Louise Fletcher; Philip Bosco; Kevin Dunn; Tom Sizemore; Mary Mara
The Affair,Jamie Smith Jackson; Natalie Wood; Robert Wagner; Bruce Davison
Desperate Hours,Mickey Rourke; Anthony Hopkins; Kelly Lynch; Mimi Rogers
The Return to the Blue Lagoon,Milla Jovovich; Brian Krause; Lisa Pelikan; Courtney Phillips; Garette Ratliff Henson
Come See the Paradise,Dennis Quaid; Tamlyn Tomita; Sab Shimono; Shizuko Hoshi
She's Back,Carrie Fisher; Robert Joy
Basic Instinct,Michael Douglas; Sharon Stone; George Dzundza; Jeanne Tripplehorn; Dorothy Malone; Stephen Tobolowsky
The Sting,Paul Newman; Robert Redford; Robert Shaw; Charles Durning
The Good Mother,Diane Keaton; Liam Neeson; Jason Robards; Ralph Bellamy; Asia Vieira; James Naughton
Poison Ivy,Drew Barrymore; Tom Skerritt; Sara Gilbert; Cheryl Ladd; Alan Stock
Homicide,Joe Mantegna; William H. Macy; Natalija Nogulich; Vincent Guastaferro
Baby Snatcher,Veronica Hamel; Nancy McKeon; David Duchovny; Michael Madsen
The Courtship of Eddie's Father,Glenn Ford; Shirley Jones; Ron Howard; Stella Stevens; Dina Merrill
Frantic,Harrison Ford; Betty Buckley; Emmanuelle Seigner; John Mahoney
Soul Man,C. Thomas Howell; Rae Dawn Chong; Arye Gross; James Earl Jones
Spies Like Us,Chevy Chase; Dan Aykroyd; Steve Forrest; Donna Dixon; Bruce Davison
White Sands,Willem Dafoe; Mary Elizabeth Mastrantonio; Mickey Rourke
Suburban Commando,Hulk Hogan; Christopher Lloyd; Shelley Duvall; Larry Miner
Aces: Iron Eagle III,Louis Gossett jr.; Rachel McLish; Paul Freeman
Cruising,Al Pacino; Karen Allen; Paul Sorvino; Richard Cox; Don Scardino; Joe Spinell; Jay Acovone; Randy Jurgensen; Barton Heyman; Gene Davis; Arnaldo Santana; Larry Atlas; Allan Miller; Ed O'Neill
The Barbarian and the Geisha,John Wayne; Eiko Ando; Sam Jaffe; Sô Yamamura
Joe Dakota,Jock Mahoney; Luana Patten; Charles McGraw; Barbara Lawrence
Romeo and Juliet,Leslie Howard; Norma Shearer; John Barrymore
The Killers,Burt Lancaster; Edmond O'Brien; Ava Gardner; Albert Dekker
Destination Tokyo,Cary Grant; John Garfield; Alan Hale; John Ridgley; William Prince
Everybody Sing,Allan Jones; Fanny Brice; Judy Garland
Wings of the Hawks,Van Heflin; Julie Adams; Abbe Lane; George Dolenz; Noah Beery jr.
Manpower,Edward G. Robinson; George Raft; Marlene Dietrich
The White Buffalo,Charles Bronson; Jack Warden; Kim Novak; John Carradine; Slim Pickens
Goodbye Charlie,Tony Curtis; Walter Matthau; Debbie Reynolds; Pat Boone; Walter Matthau; Tony Curtis
The Divorcee,Norma Shearer; Chester Morris; Conrad Nagel; Robert Montgomery
See You in the Morning,Jeff Bridges; Alice Krige; Farrah Fawcett; Drew Barrymore; Lukas Haas
A Great American Tragedy,George Kennedy; Vera Miles; James Woods; William Windon
Hero and the Terror,Chuck Norris; Jack O'Halloran; Brynn Thayer; Jeffrey Kramer
Champion,Kirk Douglas; Arthur Kennedy; Marilyn Maxwell
Gator,Burt Reynolds; Jack Weston; Lauren Hutton; Jerry Reed; Alice Ghostley; Dub Taylor
Night on Earth,Gena Rowlands; Winona Ryder; Béatrice Dalle; Roberto Benigni; Giancarlo Esposito; Rosie Perez; Armin Mueller-Stahl; Isaach De Bankolé; Pascal N'Zonzi; Paolo Bonacelli; Matti Pellonpää; Kari Väänänen
A Big Hand for the Little Lady,Joanne Woodward; Henry Fonda; Jason Robards
Stealing Home,Mark Harmon; Jodie Foster; Blair Brown; Jonathan Silverman
Mean Streets,Robert De Niro; Harvey Keitel; Amy Robinson; David Proval; Richard Romanus; Cesare Danova; Victor Argo; David Carradine; Robert Carradine
Nobody's Fool,Rosanna Arquette; Eric Roberts; Louise Fletcher
The Stranger,Orson Welles; Loretta Young; Edward G. Robinson; Philip Merivale
Holiday Inn,Bing Crosby; Fred Astaire; Marjorie Reynolds; Virginia Dale
Barefoot in the Park,Robert Redford; Jane Fonda; Charles Boyer; Mildred Natwick
Darkness Before Dawn,Meredith Baxter-Birney; Stephen Lang
"He Said, She Said",Kevin Bacon; Elizabeth Perkins; Sharon Stone
Thelma & Louise,Susan Sarandon; Geena Davis; Harvey Keitel; Michael Madsen; Brad Pitt
Freejack,Emilio Estevez; Anthony Hopkins; Mick Jagger; Rene Russo
Little Man Tate,Jodie Foster; Dianne Wiest; Adam Hann-Byrd; Harry Connick jr.
Moment by Moment,John Travolta; Lily Tomlin; Andra Akers
The Honeymoon Machine,Steve McQueen; Paula Prentiss; Jim Hutton
White Fury,Deke Anderson; Sean Holton; Douglas Harter
The Sunshine Boys,Walter Matthau; George Burns; Richard Benjamin; F. Murray Abraham
Cry of the Hunted,Vittorio Gassman; Barry Sullivan; Polly Bergen
Backdraft,Kurt Russell; Robert De Niro; Scott Glenn; William Baldwin
Ambush,Robert Taylor; Arlene Dahl; John Hodiak; Don Taylor
The Boy Who Cried Bitch,Harley Cross; Karen Young; Jesse Bradford; Jason Biggs; Gene Canfield; Adrien Brody
If Winter Comes,Walter Pidgeon; Deborah Kerr; Janet Leigh
Baby Boom,Diane Keaton; Sam Shepard; Kristine Kennedy; Harold Ramis
What's the Matter with Helen?,Debbie Reynolds; Shelley Winters; Micheal MacLiammóir
Wutherings Heights,Merle Oberon; Laurence Olivier; David Niven; Hugh Williams
Wild Justice,Roy Scheider; Patricia Millardet; Ted McGinley
The Driver,Ryan O'Neal; Bruce Dern; Isabelle Adjani; Ronee Blakley
The Out-of-Towners,Jack Lemmon; Sandy Dennis; Sandy Baron; Anne Meara; Robert Nichols
Slam Dance,Tom Hulce; Mary Elizabeth Mastrantonio; Millie Perkins; Harry Dean Stanton
Kid Galahad,Elvis Presley; Gig Young; Charles Bronson
Marathon Man,Dustin Hoffman; Laurence Olivier; Roy Scheider; Marthe Keller
Folks!,Tom Selleck; Don Ameche; Anne Jackson; Christine Ebersole; Wendy Crewson
Giant,Rock Hudson; Elizabeth Taylor; James Dean; Carroll Baker
The Bonfire of the Vanities,Tom Hanks; Bruce Willis; Melanie Griffith; Morgan Freeman
Last Train from Gun Hill,Kirk Douglas; Anthony Quinn; Carolyn Jones
Fried Green Tomatoes at the Whistle Train Stop,Mary Stuart Masterson; Mary-Louise Parker; Kathy Bates; Jessica Tandy; Stan Shavy
"Jim Thorpe, All-American",Burt Lancaster; Charles Bickford; Steve Cochran; Phyllis Thaxter
Out for Justice,Steven Seagal; William Forsythe; Jerry Orbach; Jo Champa
The Concorde: Airport '79,Alain Delon; George Kennedy; Susan Blakely; Sylvia Kristel; Robert Wagner; David Warner; Bibi Andersson; Eddie Albert; Sybil Danning
Castle Keep,Burt Lancaster; Patrick O'Neal; Jean-Pierre Aumont; Peter Falk
Repo Man,Harry Dean Stanton; Emilio Estevez; Tracey Walter; Olivia Barash
The Blood of Heroes -The Salute of the Jugger,Rutger Hauer; Joan Chen; Vincent D'Onofrio; Anna Katarina
The Sign of the Pagan,Jeff Chandler; Jack Palance; Rita Gam
"Atlantis, the Lost Continent",Anthony Hall; Joyce Taylor; John Dall
Our Man Flint,James Coburn; Lee J. Cobb; Gila Golan; Edward Mulhare; Benson Fong
The Hand that Rocks the Cradle,Annabella Sciorra; Rebecca De Mornay; Matt McCoy; Ernie Hudson; Julianne Moore; Madeleine Zima
Salvador,James Woods; John Savage; Michael Murphy; James Belushi
"Captain Carey, U.S.A.",Alan Ladd; Francis Lederer; Wanda Hendrix
Cattle Annie and Little Britches,Burt Lancaster; John Savage; Rod Steiger; Diane Lane
Absolution,Richard Burton; David Bradley; Dominic Guard; Bill Connolly
Who's That Girl?,Madonna; Griffin Dunne; Haviland Morris; John McMartin
The Owl,Adrian Paul; Erika Flores; Patricia Charbonneau; Brian Thompson
Pony Express,Charlton Heston; Forrest Tucker; Rhonda Fleming; Jan Sterling
In This Our Life,Bette Davis; Olivia de Havilland; Charles Coburn; George Brent
Escape from Fort Bravo,William Holden; Eleanor Parker; John Forsythe; William Demarest
It's My Turn,Jill Clayburgh; Michael Douglas; Charles Grodin; Dianne Wiest
Love and Death,Woody Allen; Diane Keaton; Harold Gould
First Blood,Sylvester Stallone; Richard Crenna; Brian Dennehy; David Caruso
The Two Jakes,Jack Nicholson; Harvey Keitel; Meg Tilly; Madeleine Stowe
Cabaret,Liza Minnelli; Joel Grey; Michael York; Helmut Griem; Marisa Berenson
The Deer Hunter,Robert De Niro; Christopher Walken; John Savage; Meryl Streep; John Cazale
Treacherous Crossing,Lindsay Wagner; Angie Dickinson; Grant Show; Charles Napier; Mel Harris
Hopscotch,Walter Matthau; Glenda Jackson; Ned Beatty; Herbert Lom
The Last Boyscout,Bruce Willis; Damon Wayans; Chelsea Field; Danielle Harris
If Looks Could Kill,Richard Grieco; Linda Hunt; Roger Rees; Gabrielle Anwar
Betrayed,Debra Winger; Tom Berenger; Betsy Blair; John Mahoney
Of Human Bondage,Paul Henreid; Eleanor Parker
The Gang That Couldn't Shoot Straight,Jerry Orbach; Leigh Taylor-Young; Robert De Niro
The War Wagon,John Wayne; Kirk Douglas; Bruce Dern; Howard Keel; Keenan Wynn; Emilio Fernández
Regarding Henry,Harrison Ford; Annette Bening; Bill Nunn; Mikki Allen
Samurai Cowboy,Hiromi Go; Catherine M. Stewart; Matt McCoy
Young Bess,Jean Simmons; Stewart Granger; Charles Laughton; Deborah Kerr
Humoresque,Joan Crawford; John Garfield; Oscar Levant
Green Fire,Stewart Granger; Grace Kelly; Paul Douglas; John Ericson; Murvyn Vye
Code Name: Vengeance,Robert Ginty; Shannon Tweed; Cameron Mitchell; James Ryan
The Perils of Pauline,Betty Hutton; John Lund; Billy De Wolfe; William Demarest
Underworld,George Bancroft; Evelyn Brent; Clive Brook; Fred Kholer
The Deadly Affair,James Mason; Maximilian Schell; Harriet Andersson; Simone Signoret
The Electric Horseman,Robert Redford; Jane Fonda; Valerie Perrine; Willie Nelson
V. I. Warshawski,Kathleen Turner; Jay O. Sanders; Angela Goethals; Charles Durning
The Man without a Face,Mel Gibson; Nick Stahl; Margaret Whitton; Gaby Hoffmann
Big Wednesday,Gary Busey; Jan-Michael Vincent; William Katt; Patti D'Arbanville
The Toy,Richard Pryor; Jackie Gleason; Ned Beatty; Scott Schwartz
"Love, Honor & Obey: The Last Mafia Marriage",Eric Roberts; Nancy McKeon; Tomas Milian; Ben Gazzara
Now and Forever,Gary Cooper; Carole Lombard; Shirley Temple; Guy Standing
Gregory K,Kathleen York; Robert Joy; Bill Switrowich; Joseph Gordon-Levitt; Melanie Griffith
Running on Empty,Christine Lathi; Judd Hirsch; River Phoenix; Martha Plimpton
Father of the Bride,Steve Martin; Diane Keaton; Kimberly Williams; Martin Short
Pink Cadillac,Clint Eastwood; Bernadette Peters; John Dennis Johnston
Death Wish 5: The Face of Death,Charles Bronson; Lesley-Anne Down; Michael Parks; Saul Rubinek
Eye of the Tiger,Gary Busey; Yaphet Kotto; Seymour Cassel
The Candidate,Robert Redford; Peter Boyle; Don Porter; Melvyn Douglas
The Decks Ran Red,James Mason; Broderick Crawford; Dorothy Dandridge
The Brother from Another Planet,Joe Morton; Darryl Edwards; Steve James; Leonard Jackson
Broadway Melody of 1938,Eleanor Powell; George Murphy; Sophie Tucker; Judy Garland
Cry Terror,James Mason; Rod Steiger; Angie Dickinson
Jeopardy,Barbara Stanwyck; Barry Sullivan; Ralph Meeker; Lee Aaker
The Sea Chase,John Wayne; Lana Turner; David Farrar; Lyle Bettger; Tab Hunter
The Green Years,Charles Coburn; Dean Stockwell; Tom Drake; Beverly Tyler
Cat and Mouse,Kirk Douglas; Jean Seberg; John Vernon; Don Fellows; Suzanne Lloyd
Blood Beach,David Huffman; Mariana Hill; John Saxon
Once a Thief,Alain Delon; Ann-Margret; Van Heflin; Jack Palance; Tony Musante; John Davis Chandler; Jeff Corey; Steve Mitchell; Tammy Locke
Manhattan Melodrama,William Powell; Clark Gable; Myrna Loy
Please Don't Eat the Daisies,David Niven; Doris Day; Janis Paige; Spring Byngton
El Diablo,Anthony Edwards; Louis Gossett jr.; Joe Pantoliano; Robert Beltran
Bad Trip,Dino Castagno; Cynthia Sheperd
"Happy Birthday, Wanda June",Rod Steiger; Susannah York; Michael Hickey
Mildred Pierce,Joan Crawford; Ann Blyth; Jack Carson; Zachary Scott; Eve Arden
Gremlins 2: The New Batch,Zach Galligan; Phoebe Cates; Christopher Lee; Dick Miller
Magic Town,James Stewart; Jane Wyman; Kent Smith; Ned Sparks; Wallace Ford
One Flew Over the Cuckoo's Nest,Jack Nicholson; Danny DeVito; Louise Fletcher; Will Sampson; Brad Dourif; Christopher Lloyd; Scatman Crothers; Vincent Schiavell; William Redfield; Sydney Lassick; Peter Brocco; Mwako Cumbuka; William Duell; Michael Berryman
Fortress,Christopher Lambert; Loryn Locklin; Kurtwood Smith; Lincoln Kilpatrick
The Lord of Discipline,G.D. Spradlin; David Keith; Robert Prosky; Barbara Babcok; Michael Biehn; Mark Breland; John Lavachielli
The Woman Who Sinned,Susan Lucci; Tim Matheson; Michael Dudikoff
Deceived,Goldie Hawn; John Heard; Robin Bartlett; Ashley Peldon
"Walker, Texas Ranger",Chuck Norris; Clarence Gilyard; Gailard Sartain
Waterloo Bridge,Robert Taylor; Vivien Leigh; Lucille Watson; Virginia Field
Reservoir Dogs,Harvey Keitel; Michael Madsen; Tim Roth; Steve Buscemi; Chris Penn
Look Who's Talking Too,John Travolta; Kirstie Alley; Elias Koteas; Olimpia Dukakis
The Lawnmower Man,Pierce Brosnan; Jeff Fahey; Jenny Wright; Mark Bringleson
Cape Fear,Robert Mitchum; Gregory Peck; Polly Bergen; Martin Balsam; Jack Kruschen; Telly Savalas; Barrie Chase; Paul Comi; Edward Platt; Will Wright; Joan Staley
The Rocketeer,Billy Campbell; Alan Arkin; Jennifer Connelly; Paul Sorvino; Timothy Dalton; Jon Polito
Touch of Evil,Orson Welles; Charlton Heston; Janet Leigh; Joseph Calleia; Marlene Dietrich; Akim Tamiroff; Joanna Moore; Ray Collins; Dennis Weaver; Valentin de Vargas; Mort Mills; Victor Millan
The Child,Laurel Barret; Rosalie Cole; Frank Janson
Cast a Deadly Spell,Fred Ward; David Warner; Julianne Moore
Experiment in Terror,Glenn Ford; Lee Remick; Stefanie Powers; Roy Poole
S. O. S. Titanic,David Janssen; Cloris Leachman; Susan Saint James
Sherlock Holmes in New York,Roger Moore; John Huston; Charlotte Rampling
High Sierra,Humphrey Bogart; Ida Lupino; Arthur Kennedy; Joan Leslie
A Gunfight,Kirk Douglas; Johnny Cash; Karen Black; Keith Carradine; Raf Vallone
Postcards from the Edge,Meryl Streep; Shirley MacLaine; Dennis Quaid; Gene Hackman
House Party,Christopher Reid; Robin Harris; Christopher Martin; Tisha Campbell-Martin
A Stranger Among Us,Melanie Griffith; Eric Thal; Jamey Sheridan; Mia Sara; Lee Richardson
Night Game,Roy Scheider; Karen Young; Paul Gleason; Richard Bradford
Problem Child,John Ritter; Michael Oliver; Jack Warden; Michael Richards; Amy Yasbeck
White Fang,Ethan Hawke; Klaus Maria Brandauer; Seymour Cassel
Airport,Burt Lancaster; Dean Martin; Jacqueline Bisset; Helen Hayes
Black Moon Rising,Tommy Lee Jones; Linda Hamilton; Robert Vaughn; Bubba Smith
All That Money Can Buy,James Craig; Walter Huston; Simone Simon
Juarez,Brian Aherne; Bette Davis; Paul Muni
Fun with Dick and Jane,George Segal; Jane Fonda; Ed McMahon; Richard Gautier; Allan Miller
The Addams Family,Anjelica Huston; Raul Julia; Christopher Lloyd; Christina Ricci; Carel Struycken; Judith Malina; Jimmy Workman; Dana Ivey; Dan Hedaya
The Horse Soldiers,John Wayne; William Holden; Constance Towers; Althea Gibson
The Accused,Jodie Foster; Kelly McGillis; Bernie Coulson; Ann Hearn
Missing,Jack Lemmon; Sissy Spacek; John Shea; Melanie Mayron
K-9,James Belushi; Mel Harris; Kevin Tighe; James Handy; Ed O'Neill
The Americanization of Emily,Julie Andrews; James Garner; Melvyn Douglas
They Only Kill Their Masters,James Garner; Katharine Ross; Hal Halbrook; June Allyson
The Wheeler Dealers,James Garner; Lee Remick; Phil Harris; Chill Wills; Jim Backus
Watusi,George Montgomery; Taina Elg; David Farrar; Rex Ingram
Frenchie,Shelley Winters; Joel McCrea; Paul Kelly
The Journey,Yul Brynner; Deborah Kerr; Jason Robards; Anouk Aimée
Alex in Wonderland,Donald Sutherland; Jeanne Moreau; Federico Fellini
Never Let Me Go,Clark Gable; Gene Tierney; Richard Haydn
Two Weeks with Love,Jane Powell; Ricardo Montalban; Louis Calhern; Debbie Reynolds
Texas Across the River,Dean Martin; Alain Delon; Rosemary Forsyth; Joey Bishop; Tina Marquand; Stuart Anderson
Zandy's Bride,Gene Hackman; Liv Ullmann; Harry Dean Stanton
Where Were You When the Lights Went Out?,Doris Day; Robert Morse; Terry-Thomas; Patrick O'Neal
The Bodyguard,Kevin Costner; Whitney Houston; Gary Kemp; Bill Cobbs
The Adventures of Robin Hood,Errol Flynn; Basil Rathbone; Claude Rains; Olivia de Havilland
Whose Child Is This? The War for Baby Jessica,Susan Dey; Michael Ontkean; Amanda Plummer; David Keith
Krakatoa East of Java,Maximilian Schell; Diane Baker; Brian Keith
Movers and Shakers,Walter Matthau; Charles Grodin; Vincent Gardenia; Steve Martin; Gilda Radner
What About Bob?,Bill Murray; Richard Dreyfuss; Julie Hagerty; Charlie Korsmo
The Goonies,Sean Astin; Josh Brolin; Jeff Cohen; Ke Huy Quan; Anne Ramsey; Corey Feldman; Martha Plimpton; Kerri Green; John Matuszak; Robert Davi; Joe Pantoliano; Lupe Ontiveros; Mary Ellen Trainor; Steve Antin
S. I. S.,Lou Diamond Phillips; Scott Glenn; Chelsea Field
Jaws 2,Roy Scheider; Lorraine Gary; Murray Hamilton; Joseph Mascolo
The Far Horizons,Fred MacMurray; Charlton Heston; Donna Reed; Barbara Hale
Rambo: First Blood Part II,Sylvester Stallone; Richard Crenna; Charles Napier
All That Jazz,Roy Scheider; Jessica Lange; Ann Reinking; Leland Palmer
Fletch,Chevy Chase; Joe Don Baker; Dana Wheeler-Nicholson
Which Way to the Front,Jerry Lewis; Jan Murray; John Wood; Kaye Ballard; Sidney Miller
The Swan,Grace Kelly; Alec Guinness; Louis Jourdan; Agnes Moorehead
The Crowd,James Murray; Eleanor Bordman; Bert Roach
Moving,Richard Pryor; Beverly Todd; Dave Thomas; Randy Quaid; Stacey Dash
"Alice, Sweet Alice - Communion and Holy Terror",Paula Sheppard; Brooke Shields
Charro!,Elvis Presley; Ina Balin; Victor French; Barbara Werle; Salomon Sturges
I Take This Woman,Spencer Tracy; Hedy Lamarr; Verree Teasdale; Kent Taylor; Laraine Day
Pony Soldier,Tyrone Power; Cameron Mitchell; Robert Horton; Thomas Gomez
Never Cry Wolf,Charles Martin Smith; Brian Dennehy; Zachary Ittimangnacq
The Kissing Bandit,Frank Sinatra; Kathryn Grayson; J. Carrol Naish
Pack of Lies,Alan Bates; Ellen Burstyn; Teri Garr; Sammi Davis; David Corti
Home from the Hill,Eleanor Parker; Robert Mitchum; George Peppard; Luana Patten; Eleanor Parker
The Secret of Convict Lake,Glenn Ford; Gene Tierney; Ann Dvorak; Ethel Barrymore
Footloose,Kevin Bacon; Lori Singer; Dianne Wiest; John Lithgow; Chris Penn
Come Live With Me,James Stewart; Hedy Lamarr; Ian Hunter
The Soft Kill,Michael Harris; Corbin Bernsen; Brion James; Carrie-Anne Moss
The Stepfather,Terry O'Quinn; Jill Schoelen; Stephen Schellen; Shelley Hack
Hot Shots!,Charlie Sheen; Cary Elwes; Valeria Golino; Lloyd Bridges
Wild Orchid,Greta Garbo; Lewis Stone; Nils Ashter
Batman Returns,Danny DeVito; Michael Keaton; Michelle Pfeiffer; Christopher Walken; Michael Gough; Michael Murphy; Cristi Conaway; Andrew Bryniarski; Pat Hingle; Vincent Schiavelli; Diane Salinger; Paul Reubens
San Francisco,Jeanette MacDonald; Clark Gable; Spencer Tracy; Jack Holt
Where the Rivers Flow North,Rip Torn; Tantoo Cardinal; Michael J. Fox; Treat Williams
The Little Drummer Girl,Diane Keaton; Yorgo Voyagis; Klaus Kinski; Sami Frey
Lethal Weapon 3,Mel Gibson; Danny Glover; Joe Pesci; Rene Russo; Stuart Wilson; Steve Kahan; Darlene Love; Traci Wolfe; Damon Hines; Ebonie Smith; Nick Chinlund; Alan Scarfe; Delores Hall
Captain from Castile,Tyrone Power; Jean Peters; Lee J. Cobb; Cesar Romero; John Sutton
Slap Shot,Paul Newman; Strother Martin; Michael Ontkean; Jennifer Warren
Grand Canyon,Danny Glover; Kevin Kline; Mary McDonnell; Steve Martin
The Verdict,Paul Newman; James Mason; Charlotte Rampling; Jack Warden
All I Want for Christmas,Ethan Randall; Thora Birch; Harley Jane Kozak; Jamey Sheridan; Leslie Nielsen
Time After Time,Malcolm McDowell; David Warner; Mary Steenburgen
The Ambassador,Robert Mitchum; Ellen Burstyn; Rock Hudson
Gun Fury,Rock Hudson; Donna Reed; Phil Carey; Lee Marvin; Roberta Haynes; Leo Gordon
Endless Love,Brooke Shields; Martin Hewitt; Don Murray
The Secret Garden,Margaret O'Brien; Herbert Marshall; Gladys Cooper
The Black Bird,George Segal; Stéphane Audran; Lee Patrick
National Lampoon's Animal House,John Belushi; Tim Matheson; John Vernon; Verna Bloom; Kevin Bacon; James Daughton; Martha Smith; Mary Louise Weller; Mark Metcalf; Stephen Furst; Tom Hulce; Douglas Kenney; Chris Miller; Karen Allen; James Widdoes; Peter Riegert
Silver Streak,Gene Wilder; Jill Clayburgh; Richard Pryor; Patrick McGoohan
Dear Wife,Joan Caulfield; William Holden; Edward Arnold
Holiday for Lovers,Clifton Webb; Jane Wyman; Paul Henreid; Carol Lynley
Lady Windermere's Fan,Irene Rich; May McAvory; Ronald Colman; Bert Lyttel
"Oh, God!",George Burns; John Denver; Teri Garr; Paul Sorvino; Ralph Bellamy
The Swimmer,Burt Lancaster; Marge Champion
Carefree,Fred Astaire; Ginger Rogers; Ralph Bellamy; Jack Carson
Brigadoon,Gene Kelly; Van Johnson; Cyd Charisse; Elaine Stewart
Over the Top,Sylvester Stallone; David Mendenhall; Susan Blakely; Robert Loggia
Way Down East,Lillian Gish; Josephine Bernard; Lowell Sherman; Richard Barthelmess
The Doctor,William Hurt; Elizabeth Perkins; Christine Lahti; Mandy Patinkin
Christmas Vacation,Chevy Chase; Beverly D'Angelo; Juliette Lewis; Randy Quaid; Diane Ladd
The Lost Boys,Jason Patric; Corey Haim; Dianne Wiest; Jami Gertz; Barnard Hughes; Edward Herrmann; Kiefer Sutherland; Corey Feldman; Jamison Newlander; Brooke McCarter; Billy Wirth; Alex Winter
Huckleberry Finn,Jeff East; Paul Winfield; Harvey Korman; David Wayne
Tom Sawyer,Johnnie Whitaker; Jeff East; Jodie Foster; Warren Oates
My Six Loves,Debbie Reynolds; Cliff Robertson; David Janssen; Eileen Heckart
Monte Carlo,Jeanette MacDonald; Jack Buchanan; Claud Allister; Zasu Pitts
The Exile,Douglas Fairbanks jr.; Maria Montez; Paule Croset; Henry Daniell
Willy Wonka & the Chocolate Factory,Gene Wilder; Jack Albertson; Roy Kinnear; Julie Dawn Cole; Peter Ostrum; Denise Nickerson
Little Women,Janet Leigh; June Allyson; Elizabeth Taylor; Rossano Brazzi; Peter Lawford
Lighthouse,Ryan Michael; Deborah Wakeman; Stephen E. Miller; Blu Mankuma
The New Centurions,George C. Scott; Stacy Keach; Jane Alexander; Scott Wilson; Erik Estrada; Rosalind Cash
Miracle on 34th Street,Edmund Gwenn; Maureen O'Hara; John Payne; Natalie Wood
Midnight Lace,Doris Day; Rex Harrison; John Gavin; Myrna Loy; Roddy McDowall
That Lady in Ermine,Betty Grable; Douglas Fairbanks jr.; Cesar Romero; Walter Abel
Dinner at Eight,John Barrymore; Wallace Beery; Jean Harlow; Lionel Barrymore
Swiss Miss,Stan Laurel; Oliver Hardy; Della Lind; Eric Blore; Charles Judels
Annie,Aileen Quinn; Albert Finney; Carol Burnett; Ann Reinking
It's Only Money,Jerry Lewis; Joan O'Brien; Zachary Scott; Jack Weston; Jesse White; Barbara Pepper; Francine York; Ted De Corsia
The Hucksters,Clark Gable; Deborah Kerr; Ava Gardner
The Last Run,George C. Scott; Tony Musante; Trish Van Devere; Aldo Sanbrell
The Pursuit of D.B. Cooper,Robert Duvall; Kathryn Harrold; Treat Williams
The Prisoner of Zenda,Ronald Colman; Douglas Fairbanks jr.; Madeleine Carroll; C. Aubrey Smith; Raymond Massey; Mary Astor; David Niven; Montagu Love; Philip Sleeman
Pennies from Heaven,Steve Martin; Bernadette Peters; Christopher Walken; Jessica Harper
The Lone Star,Clark Gable; Ava Gardner; Lionel Barrymore; Beulah Bondi
3 Ninjas,Chad Power; Max Elliott Slade; Michael Treanor; Victor Wong
The Sins of Rachel Cade,Angie Dickinson; Peter Finch; Roger Moore; Woody Strode
Double Trouble,Elvis Presley; John Williams; Yvonne Romain; Chips Rafferty
Plaza Suite,Walter Matthau; Maureen Stapleton; Barbara Harris; Lee Grant
Captain Newman M.D.,Gregory Peck; Tony Curtis; Angie Dickinson; Eddie Albert
The Merry Widow,Maurice Chevalier; Jeanette MacDonald; Edward Everett Horton
Operation Petticoat,Cary Grant; Tony Curtis; Joan O'Brien; Dina Merrill
The Wings of Eagles,John Wayne; Maureen O'Hara; Dan Dayley; Ward Bond
Junior Bonner,Steve McQueen; Robert Preston; Ida Lupino; Ben Johnson
Cross of Iron,James Coburn; James Mason; Maximilian Schell; Senta Berger
Robin and the Seven Hoods,Frank Sinatra; Dean Martin; Sammy Davis jr.; Bing Crosby; Peter Falk
The Big Circus,Victor Mature; Rhonda Fleming; Peter Lorre; Red Buttons; Vincent Price
